package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,LAA_method,FANOUT_method,CINT_method,CDISP_method,NOAM_type,NOM_type,ATFD_type,FANOUT_type,NOA_type,DIT_type,LOC_type,TCC_type,NOPA_type,CBO_type,WMC_type,WOC_type,AMW_type,NOC_package,NOM_package,NOM_project,LOC_project,isStatic_method,is_long methood
net.sourceforge.cobertura.instrument.tp,SwitchTouchPointDescriptor,assignCounters AtomicInteger,1,0,0,0,0,0,13,1,3,5,1,3,0,0,3,8,0,0,5,1,74,0.19,0,0,8,0.57,1,5,46,1156,14723,0,0
net.sourceforge.cobertura.instrument.tp,JumpTouchPointDescriptor,assignCounters AtomicInteger,1,0,0,0,0,0,5,1,0,1,1,1,0,0,4,6,0,0,2,1,32,0,0,0,6,0.2,1,5,46,1156,14723,0,0
net.sourceforge.cobertura.instrument.tp,LineTouchPointDescriptor,assignCounters AtomicInteger,1,0,0,0,0,0,4,1,0,1,1,1,0,0,3,5,0,0,3,1,38,0,0,0,5,0.25,1,5,46,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,AtomicArrayCodeProvider,AtomicArrayCodeProvider,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,1,1,123,1,0,0,5,0.83,0.83,8,54,1156,14723,0,0
net.sourceforge.cobertura.reporting,Complexity,averageCCN,0,1,0,0,4,1,6,2,0,0,1,0,0,0,0,4,0,0,2,0,25,0,0,0,5,1,1.25,8,41,1156,14723,0,0
test.first,B,B,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,14,0,0,1,2,1,0.67,5,11,1156,14723,0,0
test.second,B,B,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,14,0,0,1,2,1,0.67,2,7,1156,14723,0,0
net.sourceforge.cobertura.instrument,HistoryMethodAdapter,backlog,0,1,0,0,1,0,3,1,0,1,1,1,0,0,0,18,0,0,2,1,122,0.01,0,0,21,1,1.17,16,108,1156,14723,0,0
net.sourceforge.cobertura.ant,CommonMatchingTask,baseDir,1,0,0,0,0,0,4,1,0,1,1,2,0,0,2,18,3,3,6,1,168,0.04,2,2,28,0.6,1.56,23,129,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,beforeJump int int,4,0,0,0,0,1,8,2,1,6,1,2,2,1,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,beforeJump int int,4,0,0,0,0,0,3,1,0,4,1,1,1,1,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,beforeJump int int,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,beforeLabel int int,4,0,0,0,0,0,3,1,0,4,1,1,1,1,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,beforeLabel int int,4,0,0,0,0,0,2,1,0,0,1,0,0,0,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,beforeLabel int int,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,InjectCodeTouchPointListener,beforeSwitch int int String,6,0,0,0,0,1,7,2,1,6,1,2,2,1,1,10,1,12,4,0,143,0.56,0,2,17,0.89,1.7,8,54,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,beforeSwitch int int String,6,0,0,0,0,0,4,1,0,6,1,1,1,1,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument,TouchPointListener,beforeSwitch int int String,6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,96,0,0,0,0,1,0,16,108,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapClassVisitor,BuildClassMapClassVisitor Collection Map Set,4,1,0,0,1,0,4,1,0,5,1,0,0,0,1,7,7,8,4,2,107,0.73,0,4,12,0.83,1.71,2,16,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass2,BuildClassMapTouchPointListener,BuildClassMapTouchPointListener ClassMap,1,0,0,0,0,0,3,1,0,2,1,0,0,0,0,9,0,5,1,0,48,0.36,0,1,9,1,1,2,16,1156,14723,0,0
test.condition,ConditionCalls,call int,1,0,0,0,0,3,15,2,1,2,1,3,0,0,0,6,0,0,8,0,101,0.4,1,0,24,0.42,4,7,11,1156,14723,0,0
test.first,A,call,0,1,0,0,1,0,3,1,0,0,1,1,0,0,0,4,0,0,0,0,26,0,0,0,3,1,0.75,5,11,1156,14723,0,0
test.first,B,call,0,1,0,0,1,0,3,1,0,0,1,1,0,0,0,3,0,1,0,0,14,0,0,1,2,1,0.67,5,11,1156,14723,0,0
test.second,A,call,0,1,0,0,1,0,3,1,0,0,1,1,0,0,0,4,0,0,0,0,23,0,0,0,3,1,0.75,2,7,1156,14723,0,0
test.second,B,call,0,1,0,0,1,0,3,1,0,0,1,1,0,0,0,3,0,1,0,0,14,0,0,1,2,1,0.67,2,7,1156,14723,0,0
net.sourceforge.cobertura.test,FunctionalTest,callJunit,0,0,3,1,0,1,104,2,13,15,0.4,25,0,0,0,4,3,16,3,1,267,1,3,2,6,0.57,1.5,10,29,1156,14723,0,1
test.condition,ConditionCalls,callLookupSwitch int,1,0,0,0,0,2,14,3,0,1,1,1,0,0,0,6,0,0,8,0,101,0.4,1,0,24,0.42,4,7,11,1156,14723,0,0
test.condition,ConditionCalls,callMultiCondition int int int,3,0,0,0,0,1,7,4,0,1,1,1,0,0,0,6,0,0,8,0,101,0.4,1,0,24,0.42,4,7,11,1156,14723,0,0
test.condition,ConditionCalls,callMultiCondition2 int int int,3,0,0,0,0,1,6,4,0,1,1,2,0,0,0,6,0,0,8,0,101,0.4,1,0,24,0.42,4,7,11,1156,14723,0,0
test.condition,ConditionCalls,callTableSwitch int,1,0,0,0,0,2,27,10,1,0,1,0,0,0,0,6,0,0,8,0,101,0.4,1,0,24,0.42,4,7,11,1156,14723,0,0
net.sourceforge.cobertura.util,FileFinderTest,checkFile String String int,3,0,0,0,0,0,8,1,1,5,1,9,1,1,0,9,0,10,2,2,136,0.61,0,2,9,1,1,19,84,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass1,DetectIgnoredCodeMethodVisitor,checkForTrivialSignature String String,2,0,0,0,0,1,28,10,2,8,1,4,0,0,0,17,0,0,6,2,178,0.12,6,0,52,0.7,3.06,6,62,1156,14723,1,0
net.sourceforge.cobertura.test.util,TestUtils,checkFrameSummaryHtmlFile File,1,1,0,0,1,8,63,9,17,16,1,21,0,0,0,22,7,13,6,0,643,0.1,1,5,103,0.81,4.68,5,48,1156,14723,1,1
net.sourceforge.cobertura.check,Main,checkPackageCoverage double double String PackageCoverage,4,0,6,1,0,1,26,5,3,8,0,6,4,0.25,0,10,7,24,4,0,302,0.06,3,7,54,0.25,5.4,3,22,1156,14723,0,1
net.sourceforge.cobertura.check,Main,checkPackageCoverageLevels double double,2,0,0,0,0,1,14,2,5,8,1,7,0,0,0,10,7,24,4,0,302,0.06,3,7,54,0.25,5.4,3,22,1156,14723,0,0
net.sourceforge.cobertura.ant,CheckTask,CheckTask,0,0,0,0,0,0,3,1,0,0,1,0,0,0,9,12,3,3,10,2,129,0.18,1,2,23,0.17,1.92,23,129,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ClassData,ClassData,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,32,4,12,6,1,506,0.72,0,1,71,0.97,2.22,29,247,1156,14723,0,0
net.sourceforge.cobertura.coveragedata,ClassData,ClassData String,1,6,0,0,15,1,5,2,0,2,1,1,0,0,1,32,4,12,6,1,506,0.72,0,1,71,0.97,2.22,29,247,1156,14723,0,0
net.sourceforge.cobertura.instrument.pass3,AbstractCodeProvider,classMapContent int List,3,0,0,0,0,4,62,5,7,13,1,11,8,0.5,0,10,11,11,2,0,221,0.06,1,5,18,0.75,1.8,8,54,1156,14723,0,1
net.sourceforge.cobertura.javancss,FunctionMetric,clear,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,1,1,12,1,1,0,2,0.5,1,5,42,1156,14723,0,0
net.sourceforge.cobertura.javancss,Metric,clear,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,6,0,0,7,0,39,0.1,7,0,6,0.42,1,5,42,1156,14723,0,0
net.sourceforge.cobertura.javancss,PackageMetric,clear,0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,3,0,0,2,1,28,0,2,0,4,0.5,1.33,5,42,1156,14723,0,0
net.sourceforge.cobertura.javancss,ObjectMetric,clear,0,0,0,0,0,0,6,1,0,0,1,1,0,0,0,2,0,0,3,1,17,1,3,0,2,0.25,1,5,42,1156,14723,0,0
net.sourceforge.cobertura.util,Source,close,0,3,0,0,3,3,16,2,2,4,1,4,0,0,1,4,0,0,3,0,50,0,0,0,6,0.67,1.5,19,84,1156,14723,0,0
java.lang,Object,closeChannel Object,1,0,0,0,0,2,17,2,3,5,1,6,0,0,0,2,0,0,3,1,17,1,3,0,2,0.25,1,1,1,1156,14723,1,0
