ALD,ATFD,CALIN,CC,CCL,CDISP,CEXT,CINT,CM,CYCLO,FANIN,FANOUT,FANOUTCLASS,FDP,LAA,LOC,MAXNESTING,NOAV,NOEU,NOLV,NOP,is_brain
0,0,0,7,1,0,0,0,8,1,8,0,0,0,1,7,0,0,8,0,5,FALSE
0,0,0,0,5,0,0,0,0,1,0,1,1,0,1,3,0,5,0,0,5,FALSE
1,0,0,1,2,0,0,0,1,2,1,1,1,0,1,6,1,6,1,1,5,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,FALSE
1,0,0,3,2,1,1,1,3,3,3,1,1,0,1,9,2,6,3,1,5,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,FALSE
0,0,2,0,11,0,0,0,0,27,0,12,5,0,1,92,3,28,0,24,5,FALSE
0,0,1,0,1,0,0,0,0,3,1,7,3,0,1,16,3,5,0,2,5,FALSE
0,0,2,0,2,0,0,0,0,3,1,8,6,0,1,50,2,10,0,5,5,FALSE
0,1,7,0,2,0,0,0,0,2,1,19,14,1,0,32,3,14,0,7,5,FALSE
0,0,1,1,1,0,0,0,1,2,1,2,1,0,1,8,1,0,1,0,5,FALSE
0,1,2,0,4,0.8,4,5,0,6,0,7,6,1,0,37,1,18,0,11,5,FALSE
4,6,7,0,15,0.57,8,14,0,8,1,35,16,2,0.4,67,2,28,0,16,5,FALSE
0,0,1,1,4,1,2,2,1,6,1,6,4,0,1,26,3,5,1,4,5,FALSE
2,0,24,0,8,0.57,4,7,0,12,0,17,10,0,1,59,2,18,0,9,5,FALSE
0,0,11,0,4,0.83,5,6,0,8,0,9,6,0,1,36,2,9,0,6,5,FALSE
0,0,0,1,5,1,1,1,3,1,3,6,3,0,1,11,0,5,3,1,5,FALSE
1,0,1,0,4,0,0,0,0,2,0,4,1,0,1,9,1,3,0,1,5,FALSE
0,2,0,0,4,0.8,4,5,0,4,0,6,5,1,0,18,1,5,0,1,5,FALSE
0,0,1,0,1,0,0,0,0,20,0,7,3,0,1,40,3,7,0,1,5,FALSE
0,1,0,0,4,1,4,4,0,3,0,4,4,1,0,12,2,4,0,2,5,FALSE
0,0,1,0,3,0,0,0,0,17,2,21,6,0,1,51,6,18,0,15,5,FALSE
0,0,0,0,3,0,0,0,0,1,0,1,1,0,1,3,0,4,0,0,5,FALSE
3,0,0,0,2,0,0,0,0,3,0,2,0,0,1,11,2,4,0,1,5,FALSE
0,0,1,0,5,0,0,0,0,3,0,4,4,0,1,12,1,6,0,1,5,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,5,FALSE
0,4,1,0,3,1,3,3,0,5,0,12,9,2,0,42,3,13,0,10,5,FALSE
0,0,0,0,8,0,0,0,0,1,0,2,2,0,1,5,0,3,0,1,5,FALSE
0,1,1,0,8,1,2,2,0,1,0,7,7,1,0,14,2,6,0,3,5,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,5,FALSE
1,0,0,0,4,1,2,2,0,5,0,6,4,0,1,16,1,5,0,2,5,FALSE
0,0,2,0,4,1,2,2,0,6,0,8,2,0,1,21,2,6,0,4,5,FALSE
0,1,0,0,5,1,3,3,0,5,0,8,6,1,0,31,2,11,0,4,5,FALSE
0,2,5,0,11,1,6,6,0,2,1,18,11,2,0,23,1,15,0,10,5,FALSE
0,0,1,1,2,0,0,0,1,1,1,1,1,0,1,4,0,5,1,0,5,FALSE
11,0,4,0,1,0,0,0,0,7,1,22,11,0,1,63,2,25,0,15,5,FALSE
0,0,0,0,4,1,3,3,0,1,0,4,4,0,1,27,0,5,0,1,5,FALSE
5,0,18,0,4,0,0,0,0,6,0,18,9,0,1,38,2,13,0,6,5,FALSE
2,0,6,0,2,0,0,0,0,3,0,5,4,0,1,20,2,9,0,2,5,FALSE
1,1,2,0,4,0,0,0,0,2,0,18,10,1,0.5,39,2,12,0,7,5,FALSE
0,0,7,0,2,0,0,0,0,2,1,8,4,0,1,33,1,8,0,3,4,FALSE
0,0,1,2,4,0,0,0,2,1,2,2,1,0,1,4,0,6,2,1,4,FALSE
5,3,2,0,3,0.71,5,7,0,14,0,17,10,2,0.62,58,4,19,0,13,4,FALSE
0,0,5,0,2,0,0,0,0,4,1,7,4,0,1,34,3,12,0,4,4,FALSE
4,1,0,0,3,1,3,3,0,7,0,6,5,1,0.8,29,3,11,0,3,4,FALSE
0,0,1,0,3,0,0,0,0,3,0,9,6,0,1,17,2,11,0,6,4,FALSE
0,0,4,0,2,0,0,0,0,1,1,6,3,0,1,20,0,9,0,2,4,FALSE
9,0,9,0,3,0.5,2,4,0,4,0,10,2,0,1,35,2,10,0,7,4,FALSE
0,0,1,0,2,0,0,0,0,1,0,3,1,0,1,5,0,6,0,2,4,FALSE
2,0,7,0,2,0.33,1,3,0,2,0,8,3,0,1,11,1,6,0,2,4,FALSE
3,0,2,0,2,0,0,0,0,6,0,6,2,0,1,24,3,10,0,6,4,FALSE
0,0,0,0,2,0,0,0,0,14,0,7,2,0,1,41,6,15,0,10,4,FALSE
0,0,2,0,2,1,1,1,0,2,0,2,1,0,1,5,1,4,0,0,4,FALSE
0,0,0,0,2,0,0,0,0,3,0,3,0,0,1,7,1,3,0,0,4,FALSE
3,0,6,0,3,1,1,1,0,5,0,7,5,0,1,16,2,6,0,0,4,FALSE
37,41,3,0,4,0.15,3,20,0,57,0,37,7,1,0.47,236,6,30,0,18,4,FALSE
9,0,16,0,3,0.57,4,7,0,14,0,15,8,0,1,55,4,18,0,6,4,FALSE
6,0,10,0,8,1,1,1,0,15,0,15,6,0,1,85,5,18,0,7,4,FALSE
0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,4,0,3,0,1,4,FALSE
0,2,0,0,2,0,0,0,0,2,0,3,0,1,0,9,1,5,0,1,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,3,0,3,0,0,4,FALSE
10,0,5,0,3,0.5,1,2,0,5,0,5,1,0,1,22,3,8,0,2,4,FALSE
5,9,1,0,3,0,0,0,0,15,0,31,10,2,0.36,89,7,30,0,19,4,FALSE
4,0,11,0,4,0.12,1,8,0,15,0,13,3,0,1,47,2,9,0,4,4,FALSE
7,2,2,0,3,0.57,4,7,0,11,0,14,6,1,0.78,50,4,17,0,9,4,FALSE
1,0,1,0,3,0,0,0,0,5,0,9,2,0,1,18,2,7,0,5,4,FALSE
0,0,1,0,3,0,0,0,0,2,0,8,6,0,1,17,1,11,0,6,4,FALSE
0,0,4,1,2,0,0,0,1,1,2,6,3,0,1,26,0,9,1,2,4,FALSE
0,3,0,1,2,0,0,0,1,2,1,8,2,1,0,13,1,12,1,4,4,FALSE
0,0,0,1,2,0,0,0,1,3,2,5,0,0,1,27,2,10,1,6,4,FALSE
0,0,2,0,3,0,0,0,0,3,1,12,4,0,1,17,2,13,0,8,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,4,FALSE
0,0,2,1,8,0,0,0,1,5,2,13,7,0,1,38,3,12,1,7,4,FALSE
0,0,0,1,3,0,0,0,1,1,1,2,2,0,1,8,0,1,1,0,4,FALSE
0,0,1,0,2,0,0,0,0,3,0,3,1,0,1,56,1,9,0,5,4,FALSE
2,4,3,0,11,0.57,8,14,0,7,0,32,19,3,0.33,66,3,20,0,11,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,3,0,3,0,0,4,FALSE
0,0,1,8,3,0,0,0,10,1,10,1,1,0,1,3,0,0,10,0,4,FALSE
0,0,3,0,10,0,0,0,1,1,1,6,4,0,1,199,0,13,1,14,4,TRUE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,FALSE
1,0,0,2,4,0.67,2,3,3,3,3,3,2,0,1,21,2,5,3,1,4,FALSE
3,4,0,0,4,0,0,0,0,9,0,16,9,3,0.43,46,2,17,0,12,4,FALSE
0,0,1,1,5,0,0,0,1,1,1,2,1,0,1,4,0,6,1,1,4,FALSE
5,4,2,0,2,0,0,0,0,6,0,8,2,1,0.56,26,4,10,0,3,4,FALSE
1,1,0,0,2,0,0,0,0,2,0,2,1,1,0.5,6,1,4,0,0,4,FALSE
4,0,2,0,2,0,0,0,0,3,0,6,2,0,1,19,4,8,0,2,4,FALSE
1,0,0,1,2,0,0,0,1,2,1,1,1,0,1,5,1,5,1,1,4,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,4,FALSE
0,0,0,3,2,0,0,0,3,4,3,2,0,0,1,14,1,4,3,1,4,FALSE
0,0,1,0,4,0,0,0,0,2,0,5,3,0,1,11,1,4,0,1,4,FALSE
2,10,7,0,4,0.64,7,11,0,31,0,26,13,3,0.17,141,8,31,0,19,4,FALSE
0,0,0,1,2,0,0,0,1,3,1,3,1,0,1,30,1,11,1,1,4,FALSE
0,0,1,0,10,1,1,1,0,3,0,4,3,0,1,31,1,3,0,3,4,FALSE
0,0,7,0,3,0.5,1,2,0,5,2,10,4,0,1,28,1,6,0,2,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,6,0,4,0,1,4,FALSE
1,3,1,0,2,0,0,0,0,10,0,14,5,3,0.25,41,4,13,0,11,4,FALSE
1,0,1,0,2,0,0,0,0,3,0,8,1,0,1,20,2,8,0,5,4,FALSE
0,0,1,0,2,0,0,0,0,2,1,3,2,0,1,34,2,7,0,2,4,FALSE
2,0,0,0,2,0,0,0,0,1,0,1,0,0,1,3,0,3,0,0,4,FALSE
1,0,0,0,2,0,0,0,0,2,0,4,0,0,1,8,1,4,0,1,4,FALSE
2,1,0,0,2,0,0,0,0,1,0,4,2,1,0.67,8,0,7,0,2,4,FALSE
1,0,0,0,2,0,0,0,0,1,0,2,0,0,1,6,0,5,0,1,4,FALSE
2,3,1,0,9,0.67,2,3,0,8,0,13,6,2,0.4,56,4,20,0,15,4,FALSE
1,0,1,0,2,0,0,0,0,2,0,3,1,0,1,13,1,6,0,2,4,FALSE
1,0,5,0,2,0,0,0,0,10,0,16,3,0,1,57,4,13,0,10,4,FALSE
0,1,0,0,2,0.5,1,2,0,2,0,4,1,1,0,7,1,3,0,1,4,FALSE
0,2,1,0,2,0,0,0,0,2,0,7,2,2,0,9,1,5,0,2,4,FALSE
0,0,3,0,2,0.33,1,3,0,3,0,5,1,0,1,16,2,4,0,1,4,FALSE
1,0,0,0,2,0,0,0,0,4,0,4,0,0,1,15,1,7,0,4,4,FALSE
0,0,7,0,9,0.33,1,3,0,4,0,8,3,0,1,21,2,4,0,1,4,FALSE
0,0,0,0,2,0,0,0,0,5,0,4,0,0,1,23,3,4,0,3,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,6,0,4,0,1,4,FALSE
1,3,0,0,2,0,0,0,0,6,0,7,4,2,0.25,43,3,10,0,6,4,FALSE
0,0,5,0,3,0,0,0,0,15,1,15,10,0,1,186,4,36,0,24,4,FALSE
0,6,5,0,4,0,0,0,0,18,0,19,8,4,0,75,5,14,0,15,4,FALSE
1,0,12,0,9,0.33,1,3,0,20,0,16,5,0,1,62,4,19,0,16,4,FALSE
1,3,1,0,2,0.33,1,3,0,1,0,7,2,1,0.25,12,0,9,0,4,4,FALSE
0,5,1,0,2,0,0,0,0,4,0,8,2,2,0,23,3,7,0,4,4,FALSE
3,0,0,0,3,1,2,2,0,5,0,6,5,0,1,23,3,11,0,3,4,FALSE
3,12,33,0,4,0.8,4,5,0,36,0,27,6,1,0.2,175,8,38,0,26,4,FALSE
0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,101,2,0,0,0,4,FALSE
1,0,1,0,4,1,4,4,0,7,0,16,7,0,1,21,6,7,0,2,4,FALSE
0,0,6,0,1,0,0,0,0,11,1,17,3,0,1,90,2,10,0,7,4,FALSE
1,0,2,0,3,0,0,0,0,2,0,3,2,0,1,9,1,4,0,0,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,18,0,4,0,2,4,FALSE
3,1,2,0,17,1,4,4,0,4,0,16,9,1,0.75,61,3,24,0,12,4,FALSE
2,1,0,0,3,1,1,1,0,4,0,6,3,1,0.67,11,1,5,0,0,4,FALSE
0,0,0,0,2,0,0,0,0,2,0,3,0,0,1,6,1,4,0,1,4,FALSE
4,0,0,0,1,0,0,0,0,12,0,8,6,0,1,30,4,7,0,2,4,FALSE
7,0,0,0,3,1,3,3,0,7,0,8,5,0,1,28,2,12,0,2,4,FALSE
0,2,0,0,2,0,0,0,0,2,0,8,0,1,0,12,1,7,0,3,4,FALSE
0,0,3,0,2,0,0,0,0,2,0,4,3,0,1,5,1,4,0,1,4,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,FALSE
2,0,0,0,3,0,0,0,0,2,0,4,4,0,1,9,2,4,0,2,4,FALSE
1,0,15,0,3,0,0,0,0,11,0,11,6,0,1,54,3,15,0,14,4,FALSE
0,0,0,0,2,0,0,0,0,1,0,3,2,0,1,3,0,2,0,0,4,FALSE
0,0,4,0,3,0,0,0,0,1,0,5,3,0,1,8,0,2,0,0,4,FALSE
3,3,0,0,5,0.45,5,11,0,10,0,27,14,2,0.5,66,5,22,0,16,4,FALSE
0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,4,0,0,1,0,4,FALSE
0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,5,0,0,1,0,4,FALSE
0,0,0,0,4,0,0,0,0,12,1,21,9,0,1,56,3,20,0,12,4,FALSE
2,2,0,0,4,1,5,5,0,5,0,8,7,2,0.5,20,3,5,0,3,4,FALSE
0,1,2,0,4,1,3,3,0,3,1,5,5,1,0,19,1,7,0,2,4,FALSE
5,0,9,0,4,0.8,4,5,0,7,1,12,6,0,1,59,2,12,0,5,4,FALSE
0,2,0,0,6,1,5,5,0,10,0,8,7,2,0,31,5,7,0,2,4,FALSE
0,0,1,0,4,1,2,2,0,4,2,5,3,0,1,16,1,8,0,5,4,FALSE
0,3,1,0,5,1,6,6,0,2,0,10,6,3,0,14,1,9,0,5,4,FALSE
0,0,1,0,3,0.33,1,3,0,11,1,14,4,0,1,40,4,6,0,6,4,FALSE
0,0,0,0,2,0,0,0,0,22,1,5,4,0,1,50,5,8,0,5,4,FALSE
4,0,1,0,2,0,0,0,0,8,0,15,6,0,1,61,4,10,0,6,4,FALSE
0,8,2,0,5,0.36,4,11,0,2,0,19,6,2,0,24,1,14,0,10,4,FALSE
1,0,1,0,2,0,0,0,0,1,1,2,1,0,1,5,0,3,0,0,4,FALSE
4,0,1,0,2,0,0,0,0,8,0,15,6,0,1,61,4,10,0,6,4,FALSE
0,0,1,0,3,0.33,1,3,0,11,1,14,4,0,1,40,4,6,0,6,4,FALSE
0,4,0,0,2,0,0,0,0,22,1,5,4,1,0,50,5,8,0,5,4,FALSE
2,1,4,1,5,1,2,2,1,12,1,28,13,1,0.67,85,3,8,1,4,4,FALSE
0,0,7,1,3,0,0,0,2,8,2,10,6,0,1,59,2,9,2,8,4,FALSE
0,24,4,1,5,0.33,2,6,1,53,1,33,11,3,0,221,5,16,1,7,4,FALSE
0,0,0,0,4,0,0,0,0,1,1,3,3,0,1,4,0,4,0,0,4,FALSE
0,0,0,0,4,0,0,0,0,1,0,3,3,0,1,3,0,4,0,0,4,FALSE
0,0,1,0,1,0,0,0,0,5,3,2,2,0,1,16,1,4,0,0,4,FALSE
9,5,5,1,4,0.43,3,7,1,23,1,44,22,2,0.64,115,5,27,1,15,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,4,FALSE
0,3,0,0,2,0.5,1,2,0,3,0,4,1,1,0,9,1,6,0,3,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,4,FALSE
3,5,5,0,5,0.62,5,8,0,1,0,13,9,2,0.38,30,2,9,0,6,4,FALSE
4,0,2,1,4,1,1,1,1,9,1,8,5,0,1,39,4,14,1,3,4,FALSE
7,0,1,0,3,0,0,0,0,4,0,6,4,0,1,17,2,9,0,0,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,4,0,0,4,FALSE
6,0,1,0,3,0,0,0,0,3,0,6,4,0,1,13,1,9,0,0,4,FALSE
4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,0,8,0,0,4,FALSE
0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,6,0,0,1,0,4,FALSE
7,0,1,0,1,0,0,0,0,7,1,15,5,0,1,46,2,18,0,13,4,FALSE
2,0,8,0,3,0.25,1,4,0,4,1,14,4,0,1,44,1,13,0,8,4,FALSE
0,0,2,0,3,0,0,0,0,3,1,7,3,0,1,23,2,5,0,2,4,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,4,FALSE
3,0,1,1,3,0,0,0,1,4,1,7,5,0,1,18,2,5,1,0,4,FALSE
1,4,0,0,2,0.25,1,4,0,4,0,4,1,1,0.2,15,2,3,0,0,3,FALSE
1,5,0,0,2,0.14,1,7,0,3,1,8,2,1,0.17,11,1,3,0,0,3,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,FALSE
0,0,0,5,1,0,0,0,6,1,6,0,0,0,1,4,0,0,6,0,3,FALSE
0,0,26,1,3,0,0,0,1,18,2,19,7,0,1,86,6,22,1,17,3,FALSE
1,0,2,1,3,0,0,0,1,1,2,4,2,0,1,8,0,6,1,3,3,FALSE
0,0,0,0,4,0,0,0,0,2,1,3,2,0,1,9,1,5,0,1,3,FALSE
1,1,0,0,2,0,0,0,0,1,0,1,0,1,0.5,3,0,4,0,0,3,FALSE
0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,3,0,2,0,0,3,FALSE
0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,9,1,0,0,2,3,FALSE
3,0,1,0,8,1,1,1,0,4,0,11,7,0,1,28,4,11,0,6,3,FALSE
0,0,0,2,3,0,0,0,2,1,2,2,1,0,1,3,0,3,2,0,3,FALSE
2,0,1,0,5,1,1,1,0,2,4,2,1,0,1,8,1,7,0,2,3,FALSE
0,0,2,0,2,0,0,0,0,1,4,3,2,0,1,4,0,4,0,0,3,FALSE
18,1,3,0,11,0.4,2,5,0,19,0,21,10,1,0.95,111,5,23,0,16,3,FALSE
0,0,0,1,1,0,0,0,1,1,1,2,1,0,1,7,0,0,1,0,3,FALSE
0,0,0,2,9,0,0,0,2,1,2,1,1,0,1,3,0,3,2,0,3,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,FALSE
1,0,8,0,2,0,0,0,0,6,0,10,4,0,1,38,3,3,0,4,3,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,FALSE
0,0,0,3,1,0,0,0,3,1,3,0,0,0,1,3,0,0,3,0,3,FALSE
0,0,0,0,3,0,0,0,0,1,1,2,2,0,1,3,0,3,0,0,3,FALSE
2,0,2,3,2,0,0,0,4,1,5,4,2,0,1,3,0,5,4,0,3,FALSE
0,0,0,4,1,0,0,0,5,1,5,0,0,0,1,5,0,0,5,0,3,FALSE
0,0,1,1,2,0,0,0,1,7,2,12,3,0,1,51,4,12,1,11,3,FALSE
0,0,20,0,5,0.5,1,2,0,15,1,20,5,0,1,90,4,8,0,7,3,FALSE
0,1,0,0,3,0.5,1,2,0,4,1,5,3,1,0,6,0,4,0,0,3,FALSE
0,0,0,0,4,0,0,0,0,3,1,1,1,0,1,8,2,3,0,1,3,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,FALSE
1,0,2,0,2,0,0,0,0,1,1,9,7,0,1,22,0,10,0,4,3,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,FALSE
0,2,0,0,2,0.5,1,2,0,2,0,5,2,1,0,59,1,12,0,7,3,FALSE
1,0,0,1,2,0,0,0,1,2,1,1,1,0,1,6,1,4,1,1,3,FALSE
1,0,0,2,2,0,0,0,3,2,3,1,1,0,1,5,1,4,3,1,3,FALSE
1,0,0,3,2,0,0,0,4,2,4,1,1,0,1,5,1,4,4,1,3,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,FALSE
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,FALSE
4,0,0,1,2,0,0,0,1,14,1,6,5,0,1,63,4,11,1,7,3,FALSE
0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0,3,FALSE
0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0,3,FALSE
1,0,1,0,3,0,0,0,0,4,1,4,3,0,1,9,1,4,0,0,3,FALSE
0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,5,0,1,1,0,3,FALSE
0,0,2,4,1,0,0,0,4,4,4,2,1,0,1,13,2,2,4,0,3,FALSE
0,0,0,0,2,1,1,1,0,1,0,2,2,0,1,3,0,3,0,0,3,FALSE
0,0,1,0,1,0,0,0,0,8,1,4,1,0,1,13,3,5,0,3,3,FALSE
0,0,1,3,8,0,0,0,4,17,4,7,3,0,1,100,6,10,4,17,3,FALSE
1,0,0,0,3,1,1,1,0,1,1,1,1,0,1,3,0,4,0,0,3,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,3,FALSE
0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,5,1,1,0,0,3,FALSE
1,0,1,0,3,0,0,0,0,2,0,2,2,0,1,6,1,1,0,0,3,FALSE
