Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
Two year,No,No internet service,No,19.4,No,No,Mailed check,Yes,0,No internet service,358.05,Female,17,No
Month-to-month,No,No,Fiber optic,71.15,No,No,Electronic check,Yes,1,No,71.15,Female,1,Yes
Month-to-month,No,No,Fiber optic,44.33389547,Yes,No,Electronic check,Yes,0,No,365.3099711,Female,10,Yes
Month-to-month,No,No,Fiber optic,94.4,Yes,Yes,Credit card (automatic),Yes,0,No,4914.9,Male,50,No
One year,No,No internet service,No,24.45,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1066.15,Female,46,No
Month-to-month,No,Yes,Fiber optic,99.3,No,Yes,Credit card (automatic),Yes,0,Yes,2431.35,Female,24,Yes
Month-to-month,No,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,68.45,Female,4,No
Two year,No,No internet service,No,24.6,Yes,No,Credit card (automatic),Yes,0,No internet service,1678.05,Female,69,No
One year,No,No,DSL,78.65,Yes,Yes,Credit card (automatic),Yes,0,Yes,3950.85,Female,51,No
Month-to-month,No,No,Fiber optic,36.5219329,No,No,Electronic check,Yes,0,No,548.1371913,Female,15,Yes
Month-to-month,No,No,Fiber optic,62.03403319,Yes,No,Electronic check,Yes,0,Yes,1576.125437,Male,24,No
Two year,No,Yes,DSL,71,No,Yes,Bank transfer (automatic),Yes,0,No,4386.2,Female,65,No
Month-to-month,No,No,Fiber optic,84.4,No,No,Electronic check,Yes,0,No,556.35,Male,6,Yes
Month-to-month,No,No,Fiber optic,74.5,No,Yes,Electronic check,Yes,0,No,609.9,Male,8,Yes
Month-to-month,No,No,Fiber optic,83.15,Yes,No,Credit card (automatic),Yes,1,Yes,446.05,Female,5,Yes
Two year,No,No,DSL,53.85,Yes,No,Credit card (automatic),Yes,0,No,2200.7,Male,39,No
Month-to-month,No,No,Fiber optic,79.95,No,No,Electronic check,Yes,0,Yes,174.45,Male,2,No
Month-to-month,No,Yes,Fiber optic,89.55,Yes,No,Electronic check,Yes,0,Yes,1021.75,Male,12,No
One year,No,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,785.75,Male,37,No
One year,No,No internet service,No,19.55,No,No,Mailed check,Yes,0,No internet service,839.4,Male,42,No
Month-to-month,No,No,Fiber optic,55.3569055,Yes,Yes,Electronic check,Yes,0,Yes,3094.521987,Female,53,Yes
Two year,No,No internet service,No,20.75,No,No,Mailed check,Yes,0,No internet service,499.4,Male,25,No
Month-to-month,No,No,DSL,55.4,No,No,Electronic check,Yes,0,No,55.4,Female,1,Yes
Month-to-month,No,Yes,DSL,43.25,No phone service,No,Mailed check,No,0,No,219,Male,5,Yes
Two year,No,Yes,DSL,79.6,No,No,Bank transfer (automatic),Yes,0,Yes,5589.45,Female,70,No
Two year,No,No internet service,No,25.15,Yes,No,Credit card (automatic),Yes,0,No internet service,1683.6,Female,66,No
Month-to-month,No,No,Fiber optic,93.2,No,No,Mailed check,Yes,0,Yes,2157.3,Male,22,No
Month-to-month,No,Yes,Fiber optic,98.5,Yes,Yes,Electronic check,Yes,0,Yes,1037.75,Male,10,Yes
Month-to-month,No,No,Fiber optic,90.95,No,No,Electronic check,Yes,1,Yes,2897.95,Female,32,No
Month-to-month,No,No,DSL,41.63771415,No,No,Mailed check,Yes,0,No,41.63771415,Female,1,No
Month-to-month,Yes,No,DSL,51.2,No phone service,Yes,Credit card (automatic),No,0,Yes,1561.5,Female,30,Yes
One year,No,No internet service,No,19.2,No,Yes,Mailed check,Yes,0,No internet service,459.6,Female,26,No
Month-to-month,No,No,DSL,46.19046545,No,No,Electronic check,Yes,0,No,61.21860615,Male,1,Yes
One year,No,Yes,Fiber optic,109.25,Yes,Yes,Electronic check,Yes,0,Yes,8109.8,Female,72,Yes
Month-to-month,No,No,DSL,36.45,No phone service,No,Electronic check,No,1,Yes,36.45,Female,1,Yes
One year,No,Yes,Fiber optic,107.2770024,Yes,Yes,Electronic check,Yes,0,Yes,7178.353505,Male,68,No
One year,No,No,Fiber optic,85.55,Yes,Yes,Bank transfer (automatic),Yes,1,No,5251.75,Male,61,No
Month-to-month,No,No,Fiber optic,66.36210681,No,No,Electronic check,Yes,0,No,347.290673,Female,5,Yes
Month-to-month,No,No,Fiber optic,88.84205362,Yes,No,Electronic check,Yes,0,Yes,2140.779449,Male,24,Yes
Month-to-month,No,No,DSL,62.15,No,Yes,Mailed check,Yes,0,No,113.1,Female,2,No
Month-to-month,No,No,Fiber optic,67.54877727,No,No,Electronic check,Yes,0,No,130.7749072,Female,1,No
Month-to-month,No,No internet service,No,19.4,No,No,Bank transfer (automatic),Yes,0,No internet service,289.3,Female,15,Yes
Month-to-month,No,No,Fiber optic,76.8349897,Yes,Yes,Electronic check,Yes,0,Yes,2975.778504,Male,38,No
Month-to-month,No,No,Fiber optic,92.83879904,Yes,Yes,Electronic check,Yes,0,Yes,2267.262417,Male,24,Yes
Month-to-month,No,No,Fiber optic,59.44363669,Yes,Yes,Electronic check,Yes,0,Yes,2897.2811,Female,48,No
Month-to-month,No,No,Fiber optic,74.45,Yes,No,Mailed check,Yes,1,No,1145.7,Female,15,Yes
Month-to-month,No,No,DSL,54.2,No,Yes,Electronic check,Yes,0,No,1152.7,Male,22,Yes
Two year,Yes,No,DSL,70.8,Yes,Yes,Credit card (automatic),Yes,0,No,4859.95,Male,68,No
Month-to-month,Yes,No,DSL,45.7,No,Yes,Electronic check,Yes,0,No,45.7,Female,1,Yes
Month-to-month,No,No,DSL,24.9,No phone service,No,Credit card (automatic),No,0,No,49.7,Male,2,No
Month-to-month,No,No,Fiber optic,90.26148347,Yes,Yes,Electronic check,Yes,0,Yes,4378.474065,Male,49,Yes
Month-to-month,No,No,Fiber optic,88.45,No,No,Electronic check,Yes,0,Yes,370.65,Male,4,Yes
One year,No,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,71.2,Female,3,No
Month-to-month,No,No internet service,No,19.65,No,Yes,Bank transfer (automatic),Yes,0,No internet service,655.85,Female,30,Yes
Month-to-month,No,No,Fiber optic,89.96864729,No,No,Electronic check,Yes,0,No,183.5724039,Female,2,No
Two year,Yes,Yes,Fiber optic,111.2,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,7530.8,Male,67,No
Month-to-month,No,No,DSL,44.7,No,No,Credit card (automatic),Yes,1,No,276.5,Male,6,No
Month-to-month,No,Yes,Fiber optic,98.7,No,Yes,Electronic check,Yes,0,Yes,5669.5,Female,56,No
One year,Yes,Yes,Fiber optic,105.2,Yes,Yes,Credit card (automatic),Yes,0,Yes,6225.4,Female,58,No
Month-to-month,No,No,Fiber optic,81.40952589,No,No,Electronic check,Yes,0,No,140.8523588,Female,1,Yes
One year,Yes,No internet service,No,19.15,No,Yes,Credit card (automatic),Yes,0,No internet service,998.1,Female,55,No
Month-to-month,Yes,Yes,DSL,71.35,No,Yes,Credit card (automatic),Yes,0,No,515.75,Male,7,No
Month-to-month,No,No internet service,No,20.05,No,Yes,Mailed check,Yes,0,No internet service,669.45,Female,33,No
One year,Yes,Yes,Fiber optic,103.7,Yes,Yes,Mailed check,Yes,0,Yes,3467,Female,33,Yes
Month-to-month,No,No,Fiber optic,84.15,No,Yes,Bank transfer (automatic),Yes,0,No,2585.95,Female,32,Yes
Month-to-month,No,No,Fiber optic,89.94682508,No,No,Electronic check,Yes,0,No,89.94682508,Female,1,Yes
Month-to-month,No,Yes,Fiber optic,99.82527826,Yes,Yes,Electronic check,Yes,0,Yes,5155.225902,Male,51,Yes
One year,No,No internet service,No,25.05,Yes,No,Credit card (automatic),Yes,0,No internet service,1171.5,Female,48,No
Two year,No,No,Fiber optic,104.15,Yes,Yes,Credit card (automatic),Yes,0,Yes,7365.3,Male,71,No
One year,No,No internet service,No,20.05,No,No,Credit card (automatic),Yes,0,No internet service,237.7,Female,11,No
Month-to-month,No,No,Fiber optic,77.84277387,No,No,Electronic check,Yes,0,No,77.84277387,Female,1,Yes
Two year,No,No internet service,No,25.6,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1888.25,Female,71,No
Month-to-month,Yes,No internet service,No,19.3,No,No,Mailed check,Yes,0,No internet service,19.3,Male,1,No
Month-to-month,No,No,DSL,44.05,No,No,Credit card (automatic),Yes,0,No,202.15,Female,5,No
One year,No,No,Fiber optic,93.7,No,Yes,Bank transfer (automatic),Yes,0,No,5860.7,Female,61,No
Month-to-month,No,No,Fiber optic,88.4,No,No,Mailed check,Yes,0,Yes,788.6,Female,9,No
Month-to-month,No,No,Fiber optic,75.24104678,No,No,Electronic check,Yes,0,No,75.24104678,Female,1,Yes
Month-to-month,No,No,DSL,56.8,Yes,Yes,Credit card (automatic),Yes,0,No,1074.65,Male,18,No
Two year,Yes,No internet service,No,19.75,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1272.05,Female,57,No
Two year,Yes,No,Fiber optic,101.15,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,6638.35,Female,62,No
One year,No,No,DSL,65.4,No,No,Electronic check,Yes,0,Yes,2774.55,Male,44,No
Month-to-month,No,No,Fiber optic,91,Yes,No,Credit card (automatic),Yes,1,No,3180.5,Male,35,No
Month-to-month,No,Yes,Fiber optic,91.45,Yes,Yes,Electronic check,Yes,0,Yes,171.45,Male,2,No
Two year,No,Yes,DSL,69.9,Yes,Yes,Mailed check,Yes,0,No,4226.7,Male,61,No
Month-to-month,No,No,Fiber optic,100,Yes,No,Electronic check,Yes,0,Yes,3320.6,Female,33,No
One year,No,No internet service,No,24.8,Yes,No,Credit card (automatic),Yes,0,No internet service,321.7,Male,14,No
Month-to-month,No,No,DSL,49.75,No,No,Bank transfer (automatic),Yes,0,No,2535.55,Female,52,No
Two year,Yes,No internet service,No,19.7,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1396.9,Female,69,No
Month-to-month,No,No,Fiber optic,81.97816061,No,No,Electronic check,Yes,0,No,321.9894135,Female,3,Yes
Month-to-month,No,No,Fiber optic,84.34564215,No,No,Electronic check,Yes,0,No,222.1803565,Female,2,Yes
Two year,No,No internet service,No,20.5,No,No,Mailed check,Yes,0,No internet service,1035.7,Female,54,No
One year,No,Yes,Fiber optic,103.8474862,Yes,Yes,Electronic check,Yes,0,Yes,6593.482313,Male,62,Yes
Month-to-month,No,No,Fiber optic,78.40549104,Yes,No,Electronic check,Yes,0,No,1121.421494,Female,13,Yes
Month-to-month,No,No,Fiber optic,85.25,Yes,No,Electronic check,Yes,0,Yes,1734.5,Male,20,Yes
One year,No,Yes,DSL,81.25,Yes,No,Electronic check,Yes,0,Yes,5567.55,Male,64,No
Month-to-month,No,No,Fiber optic,77.85,No,No,Electronic check,Yes,0,Yes,299.2,Male,4,Yes
Month-to-month,No,Yes,Fiber optic,69.72561945,Yes,Yes,Electronic check,Yes,0,Yes,4855.233344,Male,67,Yes
Month-to-month,No,No,Fiber optic,70.15,No,No,Electronic check,Yes,0,No,123.8,Female,2,No
Two year,Yes,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,970.85,Female,50,No
Two year,No,No,Fiber optic,104.05,No,Yes,Credit card (automatic),Yes,0,Yes,6605.55,Male,64,No
Month-to-month,No,No,Fiber optic,59.78029632,Yes,No,Electronic check,Yes,0,No,883.0528798,Female,16,Yes
Month-to-month,No,No,DSL,45.35,No,No,Electronic check,Yes,0,No,89.5,Male,2,Yes
Month-to-month,No,No,Fiber optic,88.7199845,Yes,No,Electronic check,Yes,0,Yes,1427.629418,Male,15,Yes
Month-to-month,No,No,Fiber optic,81.4,Yes,Yes,Bank transfer (automatic),Yes,0,No,3775.85,Male,45,No
Two year,No,Yes,Fiber optic,99.65,No,No,Electronic check,Yes,0,Yes,5941.05,Female,60,No
Month-to-month,No,Yes,Fiber optic,105.7,Yes,No,Electronic check,Yes,0,Yes,2979.5,Male,28,Yes
Month-to-month,No,No,DSL,45.21037799,No,No,Electronic check,Yes,0,No,48.69148553,Male,1,Yes
Month-to-month,No,No,Fiber optic,73.85,Yes,No,Mailed check,Yes,0,No,401.3,Female,6,No
Two year,No,No internet service,No,20.45,No,No,Mailed check,Yes,0,No internet service,20.45,Male,1,No
Month-to-month,No,No,Fiber optic,76.0004546,Yes,No,Electronic check,Yes,0,No,723.2145569,Male,9,Yes
Month-to-month,No,Yes,DSL,45.4,No phone service,No,Credit card (automatic),No,1,Yes,214.75,Male,5,No
One year,No,Yes,DSL,58.55,No,No,Credit card (automatic),Yes,0,No,3503.5,Female,63,No
Month-to-month,No,No,Fiber optic,87.96310116,Yes,No,Electronic check,Yes,0,No,787.8819185,Male,8,Yes
One year,No,No internet service,No,24.8,Yes,No,Credit card (automatic),Yes,0,No internet service,615.35,Female,23,No
Two year,Yes,No,DSL,82.85,No,Yes,Bank transfer (automatic),Yes,0,Yes,5776.45,Male,68,No
Month-to-month,No,No,Fiber optic,71.30062848,Yes,No,Electronic check,Yes,0,No,736.5193243,Female,11,Yes
One year,No,Yes,DSL,59,Yes,No,Mailed check,Yes,0,No,1654.45,Female,28,No
Month-to-month,Yes,No,DSL,45.75,No,No,Mailed check,Yes,1,No,344.2,Male,7,No
One year,No,Yes,Fiber optic,101.9,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,5265.5,Male,50,No
Month-to-month,No,Yes,DSL,64.95,No,No,Electronic check,Yes,1,Yes,493.65,Female,7,No
Two year,No,Yes,DSL,90.8,Yes,Yes,Credit card (automatic),Yes,0,Yes,6302.85,Male,68,No
Two year,Yes,Yes,DSL,75.8,Yes,Yes,Mailed check,Yes,0,Yes,4415.75,Female,58,No
Two year,No,No,Fiber optic,78.5,Yes,Yes,Bank transfer (automatic),Yes,1,No,5602.25,Female,72,No
Month-to-month,No,No internet service,No,23.6,Yes,Yes,Mailed check,Yes,0,No internet service,89.05,Male,3,No
Month-to-month,No,No,Fiber optic,94.1,Yes,No,Electronic check,Yes,0,Yes,701.3,Male,7,No
Month-to-month,No,No,Fiber optic,74.4,No,No,Electronic check,Yes,1,No,1074.3,Male,15,Yes
Month-to-month,No,No internet service,No,19.30477856,No,No,Mailed check,Yes,0,No internet service,19.30477856,Male,1,No
Two year,No,Yes,DSL,89.1,Yes,Yes,Credit card (automatic),Yes,1,Yes,6352.4,Female,72,No
Month-to-month,No,Yes,Fiber optic,99.55,Yes,Yes,Electronic check,Yes,1,Yes,1131.2,Female,11,Yes
Two year,No,No,DSL,81.05,No,Yes,Mailed check,Yes,0,Yes,4747.65,Male,61,No
Two year,Yes,Yes,DSL,86.75,No,Yes,Electronic check,Yes,0,Yes,5186,Male,59,No
Month-to-month,No,Yes,Fiber optic,104.15,Yes,No,Electronic check,Yes,0,Yes,2494.65,Female,24,No
Two year,No,No,Fiber optic,88,Yes,Yes,Credit card (automatic),Yes,0,No,5986.45,Male,70,No
One year,Yes,No,Fiber optic,94.7,Yes,Yes,Credit card (automatic),Yes,0,Yes,5430.35,Male,58,No
One year,No,Yes,DSL,79.4,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,5528.9,Male,70,No
Two year,Yes,No internet service,No,25.55,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1336.1,Male,53,No
Month-to-month,No,No,DSL,50.8,No,No,Bank transfer (automatic),Yes,0,No,288.05,Female,6,Yes
Month-to-month,No,Yes,Fiber optic,101.4,Yes,No,Electronic check,Yes,1,Yes,3496.3,Male,35,Yes
Month-to-month,No,No,Fiber optic,99.8,Yes,Yes,Electronic check,Yes,0,Yes,5985.75,Female,60,No
Two year,Yes,Yes,DSL,85.9,Yes,Yes,Credit card (automatic),Yes,0,Yes,6110.75,Female,72,No
Month-to-month,Yes,Yes,Fiber optic,94.5,No,No,Mailed check,Yes,0,Yes,575.45,Male,6,Yes
Month-to-month,No,No internet service,No,21.02673293,No,No,Mailed check,Yes,0,No internet service,21.02673293,Male,1,Yes
Month-to-month,Yes,No,DSL,54.8,No,Yes,Mailed check,Yes,0,No,452.8,Male,9,No
Two year,Yes,No internet service,No,24.9,Yes,Yes,Mailed check,Yes,0,No internet service,1680.25,Female,67,No
Two year,Yes,No internet service,No,20.35,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1092.35,Female,54,No
Month-to-month,No,No,Fiber optic,97.06544094,Yes,No,Electronic check,Yes,0,Yes,1255.880629,Female,13,No
Month-to-month,No,No,Fiber optic,94.6,No,No,Electronic check,Yes,0,Yes,2283.15,Female,24,No
Month-to-month,No,No internet service,No,20.9,No,No,Mailed check,Yes,0,No internet service,247,Female,10,No
Month-to-month,No,Yes,Fiber optic,85.35,Yes,Yes,Bank transfer (automatic),Yes,1,No,1463.45,Female,17,Yes
Two year,Yes,Yes,DSL,70.85,No,Yes,Credit card (automatic),Yes,0,No,4973.4,Male,71,No
One year,No,No,Fiber optic,104.25,Yes,No,Electronic check,Yes,0,Yes,6860.6,Male,66,No
Month-to-month,No,Yes,Fiber optic,90.95,No,No,Credit card (automatic),Yes,0,No,1612.2,Male,17,No
Month-to-month,No,Yes,Fiber optic,99.05,Yes,No,Electronic check,Yes,1,Yes,3395.8,Male,35,Yes
Month-to-month,No,Yes,Fiber optic,99.05,Yes,Yes,Credit card (automatic),Yes,1,Yes,5295.7,Male,54,No
Month-to-month,No,No,DSL,74.75,No,No,Electronic check,Yes,1,Yes,2111.3,Male,30,No
Month-to-month,No,No,Fiber optic,81.45,Yes,No,Electronic check,Yes,1,No,2122.05,Male,27,Yes
Month-to-month,No,No,DSL,51.8,No,No,Mailed check,Yes,0,No,1023.85,Male,20,No
One year,No,Yes,Fiber optic,108.5,Yes,Yes,Mailed check,Yes,0,Yes,6880.85,Male,64,No
Month-to-month,No,No,Fiber optic,70.85,No,No,Electronic check,Yes,0,No,70.85,Female,1,Yes
Month-to-month,No,Yes,DSL,64.4,No,No,Credit card (automatic),Yes,0,No,1398.6,Male,20,No
Month-to-month,No,No,Fiber optic,81.7,No,No,Electronic check,Yes,1,No,1820.9,Female,22,No
Month-to-month,No,No,DSL,45.45,No,No,Mailed check,Yes,0,No,141.7,Male,3,No
Two year,Yes,Yes,DSL,79.15,No,Yes,Credit card (automatic),Yes,0,Yes,3566.6,Male,43,No
Two year,Yes,Yes,DSL,80.6,No,Yes,Bank transfer (automatic),Yes,0,Yes,4946.7,Female,60,No
Month-to-month,No,No,Fiber optic,94.4,Yes,No,Electronic check,Yes,0,Yes,1617.5,Female,17,Yes
Month-to-month,No,No,Fiber optic,83.85,Yes,Yes,Bank transfer (automatic),Yes,1,No,5588.8,Male,67,No
Month-to-month,No,No internet service,No,20.95,No,No,Mailed check,Yes,0,No internet service,109.5,Female,6,No
Two year,No,No internet service,No,19.45,No,No,Credit card (automatic),Yes,0,No internet service,369.05,Male,17,No
Month-to-month,No,No,DSL,45.86322971,No,No,Electronic check,Yes,0,No,99.15365509,Female,2,Yes
Two year,Yes,No internet service,No,20.1,No,Yes,Mailed check,Yes,0,No internet service,936.85,Male,46,No
Month-to-month,No,No,DSL,45.85,No,No,Mailed check,Yes,0,No,45.85,Male,1,Yes
Month-to-month,No,No,DSL,56.25,No,No,Electronic check,Yes,0,No,56.25,Female,1,Yes
Month-to-month,No,No,DSL,45.55,No phone service,Yes,Electronic check,No,0,Yes,2062.15,Female,46,No
Month-to-month,No,No,Fiber optic,89.55,Yes,No,Electronic check,Yes,0,No,2259.35,Female,24,No
Two year,Yes,Yes,Fiber optic,108.3,No,Yes,Bank transfer (automatic),Yes,0,Yes,7679.65,Female,72,No
Month-to-month,No,No,Fiber optic,80.05,No,No,Credit card (automatic),Yes,0,No,1112.3,Female,14,No
Month-to-month,No,No,Fiber optic,73.85,Yes,No,Electronic check,Yes,0,No,511.25,Female,7,Yes
Month-to-month,No,No,Fiber optic,93.9,Yes,No,Mailed check,Yes,0,Yes,486.85,Female,5,Yes
Month-to-month,No,Yes,Fiber optic,95.6,Yes,No,Credit card (automatic),Yes,0,No,1555.65,Female,16,Yes
Two year,No,Yes,DSL,63.9,No phone service,No,Credit card (automatic),No,0,Yes,3334.95,Male,52,No
Month-to-month,No,No,Fiber optic,74.35153086,No,No,Electronic check,Yes,0,No,74.35153086,Female,1,Yes
Month-to-month,No,No internet service,No,38.07294734,No,No,Mailed check,Yes,0,No internet service,38.07294734,Male,1,Yes
Month-to-month,Yes,No,DSL,35.05,No phone service,Yes,Bank transfer (automatic),No,0,No,1620.25,Female,46,No
Month-to-month,No,No,Fiber optic,89,Yes,No,Credit card (automatic),Yes,1,Yes,1288.3,Female,15,No
Two year,Yes,No internet service,No,25.25,Yes,Yes,Mailed check,Yes,0,No internet service,1211.65,Female,49,No
Month-to-month,Yes,Yes,DSL,48.7,No phone service,Yes,Bank transfer (automatic),No,0,No,2495.2,Female,53,No
Month-to-month,No,No,Fiber optic,97.45413532,Yes,No,Electronic check,Yes,0,Yes,1757.433842,Male,18,Yes
Month-to-month,No,Yes,Fiber optic,98,No,Yes,Electronic check,Yes,1,Yes,1237.85,Male,13,Yes
Month-to-month,No,No,DSL,45,No,No,Electronic check,Yes,1,No,127.1,Female,3,Yes
One year,No,Yes,Fiber optic,109.5,No,Yes,Bank transfer (automatic),Yes,0,Yes,7534.65,Male,70,Yes
Month-to-month,Yes,No,DSL,54.5,No,Yes,Electronic check,Yes,0,No,2076.05,Female,38,No
Month-to-month,No,No,Fiber optic,86.52023633,Yes,No,Electronic check,Yes,0,No,371.310878,Male,4,Yes
Month-to-month,No,No,DSL,44.86419897,No,No,Electronic check,Yes,0,No,80.51355876,Female,2,Yes
One year,No,No internet service,No,18.8,No,Yes,Mailed check,Yes,0,No internet service,294.95,Male,15,No
Two year,Yes,No internet service,No,26,Yes,Yes,Credit card (automatic),Yes,0,No internet service,1654.85,Female,65,No
Month-to-month,No,No,Fiber optic,93.89781049,No,No,Electronic check,Yes,0,No,176.8512476,Female,2,Yes
Month-to-month,No,No,Fiber optic,74.4,Yes,Yes,Mailed check,Yes,1,No,306.6,Male,4,Yes
Month-to-month,No,No,DSL,48.85,Yes,No,Mailed check,Yes,0,No,631.4,Female,15,No
Month-to-month,No,No,Fiber optic,99.95592208,Yes,No,Electronic check,Yes,0,No,387.2966447,Female,4,No
Month-to-month,No,Yes,Fiber optic,97.50593458,Yes,Yes,Electronic check,Yes,0,Yes,5623.323491,Male,56,No
Two year,No,Yes,DSL,62.5,No phone service,No,Bank transfer (automatic),No,0,Yes,4136.4,Female,66,No
Month-to-month,No,No,Fiber optic,103.5645906,Yes,Yes,Electronic check,Yes,0,Yes,2685.302474,Male,26,No
Two year,Yes,No internet service,No,19.6,No,Yes,Credit card (automatic),Yes,0,No internet service,125,Male,8,No
Month-to-month,No,No,Fiber optic,77.32609877,No,No,Electronic check,Yes,0,No,77.32609877,Female,1,No
Two year,No,Yes,DSL,84.1,Yes,Yes,Credit card (automatic),Yes,1,Yes,6129.65,Female,72,No
Two year,No,Yes,DSL,67.8,Yes,Yes,Bank transfer (automatic),Yes,0,No,4804.65,Male,72,No
One year,No,No,DSL,39.65,No phone service,No,Credit card (automatic),No,0,No,1798.65,Female,47,No
One year,No,Yes,Fiber optic,108.2942259,Yes,Yes,Electronic check,Yes,0,Yes,6026.248652,Male,55,Yes
Month-to-month,No,No,Fiber optic,75,No,No,Bank transfer (automatic),Yes,0,No,1778.5,Female,23,No
Month-to-month,No,Yes,Fiber optic,74.9,No,No,Electronic check,Yes,0,No,74.9,Female,1,Yes
Month-to-month,No,No,Fiber optic,84.70475414,Yes,No,Electronic check,Yes,0,No,350.9703393,Female,4,Yes
Two year,No,Yes,Fiber optic,100.9,Yes,No,Bank transfer (automatic),Yes,0,Yes,7459.05,Male,72,No
Month-to-month,No,Yes,Fiber optic,75.15,No,Yes,Bank transfer (automatic),Yes,0,No,496.9,Female,7,Yes
Month-to-month,No,No,DSL,59.48637267,No,No,Electronic check,Yes,0,No,59.48637267,Female,1,Yes
Month-to-month,No,No,DSL,45,No,No,Bank transfer (automatic),Yes,0,No,524.35,Female,12,No
Two year,No,Yes,Fiber optic,105.1,Yes,No,Credit card (automatic),Yes,0,Yes,6631.85,Male,65,No
Month-to-month,No,No,Fiber optic,88.37683925,Yes,No,Electronic check,Yes,0,Yes,2431.512716,Male,28,Yes
Two year,Yes,No internet service,No,24.4,Yes,Yes,Bank transfer (automatic),Yes,1,No internet service,1548.65,Male,64,No
Two year,Yes,Yes,DSL,84.1,Yes,Yes,Electronic check,Yes,0,Yes,5979.7,Male,70,No
One year,No,Yes,Fiber optic,102.4529614,Yes,Yes,Electronic check,Yes,0,Yes,6667.889194,Male,66,Yes
Month-to-month,No,No,DSL,54.65,No,No,Mailed check,Yes,0,No,189.1,Male,3,No
Two year,Yes,No internet service,No,25.45,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,809.25,Male,35,No
Two year,No,Yes,DSL,70.9,Yes,Yes,Credit card (automatic),Yes,0,No,4911.35,Female,68,No
Month-to-month,Yes,No,Fiber optic,94.2,Yes,No,Bank transfer (automatic),Yes,0,Yes,193.8,Female,2,Yes
